utterance_id,emotion,start_sec,end_sec,source_emotion_file,duration_sec,session,speaker,gender_proxy
Ses01F_impro02_F006,neu,64.255,68.47,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.215000000000003,Ses01,Ses01F,F
Ses01F_impro02_F007,xxx,72.39,78.57,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,6.179999999999993,Ses01,Ses01F,F
Ses01F_impro02_F008,sad,87.2031,91.09,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.886899999999997,Ses01,Ses01F,F
Ses01F_impro02_F009,xxx,91.55,95.88,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.329999999999998,Ses01,Ses01F,F
Ses01F_impro02_F010,sad,97.94,102.19,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.25,Ses01,Ses01F,F
Ses01F_impro02_F011,xxx,107.68,111.0153,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.3352999999999895,Ses01,Ses01F,F
Ses01F_impro02_F012,sad,117.83,120.8605,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.0305000000000035,Ses01,Ses01F,F
Ses01F_impro02_F013,sad,127.82,133.9455,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,6.125500000000017,Ses01,Ses01F,F
Ses01F_impro02_F014,sad,139.03,146.43,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,7.400000000000006,Ses01,Ses01F,F
Ses01F_impro02_F015,sad,151.4221,155.01,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.5878999999999905,Ses01,Ses01F,F
Ses01F_impro02_F016,neu,163.54,165.73,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,2.1899999999999977,Ses01,Ses01F,F
Ses01F_impro02_F017,sad,169.36,176.015,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,6.654999999999973,Ses01,Ses01F,F
Ses01F_impro02_F018,neu,176.08,179.13,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.049999999999983,Ses01,Ses01F,F
Ses01F_impro02_F019,sad,182.83,185.8894,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.0593999999999824,Ses01,Ses01F,F
Ses01F_impro02_F020,sad,186.58,191.11,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.530000000000001,Ses01,Ses01F,F
Ses01F_impro02_M000,xxx,17.6,20.6264,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.026399999999999,Ses01,Ses01F,F
Ses01F_impro02_M001,sad,21.76,27.5558,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,5.7958,Ses01,Ses01F,F
Ses01F_impro02_M002,xxx,38.85,45.09,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,6.240000000000002,Ses01,Ses01F,F
Ses01F_impro02_M003,fru,52.71,59.0534,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,6.343400000000003,Ses01,Ses01F,F
Ses01F_impro02_M004,xxx,61.75,65.055,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.305000000000007,Ses01,Ses01F,F
Ses01F_impro02_M005,sad,69.34,74.29,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.950000000000003,Ses01,Ses01F,F
Ses01F_impro02_M006,xxx,80.03,86.99,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,6.959999999999994,Ses01,Ses01F,F
Ses01F_impro02_M007,xxx,103.27,107.1,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.8299999999999983,Ses01,Ses01F,F
Ses01F_impro02_M008,fru,110.5653,113.2,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,2.6347000000000094,Ses01,Ses01F,F
Ses01F_impro02_M009,sad,114.1775,117.85,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.6724999999999994,Ses01,Ses01F,F
Ses01F_impro02_M010,sad,120.4105,124.63,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.2194999999999965,Ses01,Ses01F,F
Ses01F_impro02_M011,sad,133.88,137.1,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,3.219999999999999,Ses01,Ses01F,F
Ses01F_impro02_M012,neu,147.03,151.7101,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.68010000000001,Ses01,Ses01F,F
Ses01F_impro02_M013,sad,157.98,162.71,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.730000000000018,Ses01,Ses01F,F
Ses01F_impro02_M014,sad,164.885,169.5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.615000000000009,Ses01,Ses01F,F
Ses01F_impro02_M015,neu,175.47,176.72,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,1.25,Ses01,Ses01F,F
Ses01F_impro02_M016,fru,195.1047,199.52,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,4.415300000000002,Ses01,Ses01F,F
Ses01F_impro03_F000,hap,4.88,7.74,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.8600000000000003,Ses01,Ses01F,F
Ses01F_impro03_F001,hap,7.93,11.37,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.4399999999999995,Ses01,Ses01F,F
Ses01F_impro03_F002,hap,12.8,15.37,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.5699999999999985,Ses01,Ses01F,F
Ses01F_impro03_F003,xxx,15.87,20.4867,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,4.6167,Ses01,Ses01F,F
Ses01F_impro03_F004,hap,21.75,25.52,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.7699999999999996,Ses01,Ses01F,F
Ses01F_impro03_F005,hap,25.5584,28.14,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.5816000000000017,Ses01,Ses01F,F
Ses01F_impro03_F006,hap,28.37,34.71,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,6.34,Ses01,Ses01F,F
Ses01F_impro03_F007,xxx,35.6349,40.1,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,4.4651,Ses01,Ses01F,F
Ses01F_impro03_F008,hap,40.12,42.79,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.6700000000000017,Ses01,Ses01F,F
Ses01F_impro03_F009,hap,42.84,44.54,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,1.6999999999999957,Ses01,Ses01F,F
Ses01F_impro03_F010,hap,47.87,51.075,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.2050000000000054,Ses01,Ses01F,F
Ses01F_impro03_F011,xxx,51.36,53.4925,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.1325000000000003,Ses01,Ses01F,F
Ses01F_impro03_F012,hap,55.865,58.15,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.2849999999999966,Ses01,Ses01F,F
Ses01F_impro03_F013,hap,60.73,65.86,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,5.130000000000003,Ses01,Ses01F,F
Ses01F_impro03_F014,xxx,68.01,73.75,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,5.739999999999995,Ses01,Ses01F,F
Ses01F_impro03_F015,exc,74.2675,78.8425,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,4.575000000000003,Ses01,Ses01F,F
Ses01F_impro03_F016,hap,79.035,81.0875,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.052500000000009,Ses01,Ses01F,F
Ses01F_impro03_F017,neu,82.0975,85.08,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.9825000000000017,Ses01,Ses01F,F
Ses01F_impro03_F018,neu,85.1,88.0225,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.9224999999999994,Ses01,Ses01F,F
Ses01F_impro03_F019,neu,88.08,89.5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,1.4200000000000017,Ses01,Ses01F,F
Ses01F_impro03_F020,xxx,91.235,92.615,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,1.3799999999999955,Ses01,Ses01F,F
Ses01F_impro03_F021,hap,92.75,98.21,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,5.459999999999994,Ses01,Ses01F,F
Ses01F_impro03_F022,neu,99.7775,102.03,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.2524999999999977,Ses01,Ses01F,F
Ses01F_impro03_F023,neu,102.62,103.4625,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,0.8425000000000011,Ses01,Ses01F,F
Ses01F_impro03_F024,hap,103.78,108.1825,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,4.402500000000003,Ses01,Ses01F,F
Ses01F_impro03_F025,hap,110.23,114.16,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.9299999999999926,Ses01,Ses01F,F
Ses01F_impro03_F026,hap,114.19,120.2,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,6.010000000000005,Ses01,Ses01F,F
Ses01F_impro03_M000,neu,3.24,5.46,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.2199999999999998,Ses01,Ses01F,F
Ses01F_impro03_M001,neu,6.6,8.66,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.0600000000000005,Ses01,Ses01F,F
Ses01F_impro03_M002,sur,10.53,13.84,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.3100000000000005,Ses01,Ses01F,F
Ses01F_impro03_M003,exc,14.93,18.9075,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.977499999999999,Ses01,Ses01F,F
Ses01F_impro03_M004,xxx,20.2532,22.83,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.5767999999999986,Ses01,Ses01F,F
Ses01F_impro03_M005,xxx,27.28,29.65,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.3699999999999974,Ses01,Ses01F,F
Ses01F_impro03_M006,neu,34.25,36.34,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.0900000000000034,Ses01,Ses01F,F
Ses01F_impro03_M007,hap,37.7175,40.47,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.7524999999999977,Ses01,Ses01F,F
Ses01F_impro03_M008,neu,42.09,43.41,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,1.3199999999999932,Ses01,Ses01F,F
Ses01F_impro03_M009,neu,44.16,49.07,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,4.910000000000004,Ses01,Ses01F,F
Ses01F_impro03_M010,xxx,49.61,52.43,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.8200000000000003,Ses01,Ses01F,F
Ses01F_impro03_M011,neu,52.92,56.85,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.9299999999999997,Ses01,Ses01F,F
Ses01F_impro03_M012,xxx,57.46,61.375,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.914999999999999,Ses01,Ses01F,F
Ses01F_impro03_M013,hap,65.6425,68.44,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.7974999999999994,Ses01,Ses01F,F
Ses01F_impro03_M014,hap,73.41,76.9975,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.5875000000000057,Ses01,Ses01F,F
Ses01F_impro03_M015,hap,78.32,80.5,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.180000000000007,Ses01,Ses01F,F
Ses01F_impro03_M016,neu,80.7175,82.5225,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,1.8049999999999926,Ses01,Ses01F,F
Ses01F_impro03_M017,sur,84.6925,87.36,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.667500000000004,Ses01,Ses01F,F
Ses01F_impro03_M018,sur,87.6425,89.08,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,1.4375,Ses01,Ses01F,F
Ses01F_impro03_M019,neu,89.12,93.91,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,4.789999999999992,Ses01,Ses01F,F
Ses01F_impro03_M020,neu,97.03,101.65,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,4.6200000000000045,Ses01,Ses01F,F
Ses01F_impro03_M021,neu,101.67,104.35,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.6799999999999926,Ses01,Ses01F,F
Ses01F_impro03_M022,exc,105.29,106.95,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,1.6599999999999966,Ses01,Ses01F,F
Ses01F_impro03_M023,hap,107.71,111.4,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,3.690000000000012,Ses01,Ses01F,F
Ses01F_impro03_M024,neu,117.36,119.58,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro03.txt,2.219999999999999,Ses01,Ses01F,F
Ses01F_impro04_F000,neu,7.2455,11.64,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,4.394500000000001,Ses01,Ses01F,F
Ses01F_impro04_F001,neu,11.7448,16.15,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,4.405199999999999,Ses01,Ses01F,F
Ses01F_impro04_F002,fru,18.6,30.8976,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,12.2976,Ses01,Ses01F,F
Ses01F_impro04_F003,xxx,35.009,37.8,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,2.790999999999997,Ses01,Ses01F,F
Ses01F_impro04_F004,xxx,40.23,41.95,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,1.720000000000006,Ses01,Ses01F,F
Ses01F_impro04_F005,neu,43.35,45.7596,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,2.4095999999999975,Ses01,Ses01F,F
Ses01F_impro04_F006,neu,46.2735,49.83,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,3.5564999999999998,Ses01,Ses01F,F
Ses01F_impro04_F007,fru,50.11,54.31,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,4.200000000000003,Ses01,Ses01F,F
Ses01F_impro04_F008,xxx,54.37,55.67,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,1.3000000000000043,Ses01,Ses01F,F
Ses01F_impro04_F009,neu,58.71,60.0937,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,1.3836999999999975,Ses01,Ses01F,F
Ses01F_impro04_F010,xxx,60.6771,66.5275,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,5.8504000000000005,Ses01,Ses01F,F
Ses01F_impro04_F011,xxx,69.43,70.94,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,1.509999999999991,Ses01,Ses01F,F
Ses01F_impro04_F012,xxx,72.13,74.73,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,2.6000000000000085,Ses01,Ses01F,F
Ses01F_impro04_F013,neu,76.49,80.7269,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,4.236900000000006,Ses01,Ses01F,F
Ses01F_impro04_F014,neu,85.49,86.98,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,1.490000000000009,Ses01,Ses01F,F
Ses01F_impro04_F015,xxx,87.2203,93.33,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,6.109700000000004,Ses01,Ses01F,F
Ses01F_impro04_F016,fru,97.41,101.0475,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,3.637500000000003,Ses01,Ses01F,F
Ses01F_impro04_F017,fru,102.78,105.415,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,2.635000000000005,Ses01,Ses01F,F
Ses01F_impro04_F018,fru,106.17,111.86,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,5.689999999999998,Ses01,Ses01F,F
Ses01F_impro04_F019,fru,114.92,122.31,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro04.txt,7.390000000000001,Ses01,Ses01F,F
